Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.13,4.2,26.2,,1.13,4.4,26.4,
1.15,4.2,26.2,,1.15,4.4,26.4,
1.17,4.2,26.3,,1.17,4.4,26.4,
1.18,4.2,26.3,,1.18,4.4,26.4,
1.2,4.2,26.3,2.5,1.2,4.5,26.4,
1.22,4.2,26.3,,1.22,4.5,26.4,
1.23,4.2,26.3,,1.23,4.5,26.4,
1.25,4.2,26.3,,1.25,4.5,26.4,
1.27,4.3,26.3,,1.27,4.5,26.4,4.0
1.28,4.3,26.3,,1.28,4.5,26.4,
1.3,4.3,26.3,,1.3,4.5,26.4,
1.32,4.3,26.3,,1.32,4.5,26.4,
1.33,4.3,26.3,,1.33,4.5,26.4,
1.35,4.3,26.3,,1.35,4.5,26.5,
1.37,4.3,26.3,3.0,1.37,4.5,26.5,
1.38,4.3,26.3,,1.38,4.6,26.5,
1.4,4.3,26.3,,1.4,4.6,26.5,
1.42,4.3,26.3,,1.42,4.6,26.5,4.5
1.43,4.3,26.3,,1.43,4.6,26.5,
1.45,4.4,26.3,,1.45,4.6,26.5,
1.47,4.4,26.3,,1.47,4.6,26.5,
1.48,4.4,26.3,,1.48,4.6,26.5,
1.5,4.4,26.3,,1.5,4.6,26.5,
1.52,4.4,26.3,,1.52,4.6,26.5,
1.53,4.4,26.3,,1.53,4.6,26.5,5.0
1.55,4.4,26.3,3.5,1.55,4.6,26.5,
1.57,4.4,26.3,,1.57,4.6,26.5,
1.58,4.4,26.3,,1.58,4.6,26.5,
1.6,4.4,26.3,,1.6,4.6,26.5,
1.62,4.4,26.3,,1.62,4.7,26.5,
1.63,4.4,26.3,,1.63,4.7,26.5,
1.65,4.4,26.3,,1.65,4.7,26.5,5.5
1.67,4.4,26.3,,1.67,4.7,26.5,
1.68,4.4,26.3,,1.68,4.7,26.5,
1.7,4.5,26.3,,1.7,4.7,26.5,
1.72,4.5,26.3,4.0,1.72,4.7,26.5,
1.73,4.5,26.3,,1.73,4.7,26.5,
1.75,4.5,26.3,,1.75,4.7,26.5,
1.77,4.5,26.3,,1.77,4.7,26.5,
1.78,4.5,26.3,,1.78,4.7,26.5,6.0
1.8,4.5,26.3,,1.8,4.7,26.5,
1.82,4.5,26.3,,1.82,4.7,26.5,
1.83,4.5,26.3,,1.83,4.7,26.5,
1.85,4.5,26.3,,1.85,4.7,26.5,
1.87,4.5,26.3,,1.87,4.8,26.5,
