Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
3.37,5.2,25.4,,3.37,4.9,26.5,9.0,3.37,5.4,26.4,13.0
3.38,5.2,25.4,,3.38,4.9,26.5,,3.38,5.4,26.4,
3.4,5.2,25.4,,3.4,4.9,26.5,,3.4,5.4,26.4,
3.42,5.2,25.4,13.0,3.42,4.9,26.5,,3.42,5.4,26.4,
3.43,5.2,25.4,,3.43,4.9,26.5,,3.43,5.4,26.4,
3.45,5.2,25.4,,3.45,4.9,26.5,,3.45,5.4,26.4,
3.47,5.2,25.4,,3.47,4.9,26.5,,3.47,5.4,26.4,
3.48,5.2,25.4,,3.48,4.9,26.5,,3.48,5.4,26.4,13.5
3.5,5.2,25.4,13.5,3.5,4.9,26.5,9.5,3.5,5.4,26.4,
3.52,5.2,25.4,,3.52,4.9,26.5,,3.52,5.5,26.4,
3.53,5.2,25.5,,3.53,4.9,26.5,,3.53,5.5,26.4,
3.55,5.2,25.5,,3.55,4.9,26.5,,3.55,5.5,26.4,
3.57,5.2,25.5,,3.57,4.9,26.5,,3.57,5.5,26.4,
3.58,5.2,25.5,,3.58,4.9,26.5,,3.58,5.5,26.4,
3.6,5.3,25.5,,3.6,4.9,26.5,,3.6,5.5,26.4,14.0
3.62,5.3,25.5,,3.62,4.9,26.5,,3.62,5.5,26.4,
3.63,5.3,25.5,14.0,3.63,4.9,26.5,,3.63,5.5,26.4,
3.65,5.3,25.5,,3.65,5.0,26.5,10.0,3.65,5.5,26.4,
3.67,5.3,25.5,,3.67,5.0,26.5,,3.67,5.5,26.4,
3.68,5.3,25.5,,3.68,5.0,26.5,,3.68,5.5,26.4,
3.7,5.3,25.5,,3.7,5.0,26.5,,3.7,5.5,26.4,
3.72,5.3,25.5,,3.72,5.0,26.5,,3.72,5.5,26.4,14.5
3.73,5.3,25.5,,3.73,5.0,26.5,,3.73,5.5,26.4,
3.75,5.3,25.5,14.5,3.75,5.0,26.5,,3.75,5.5,26.4,
3.77,5.3,25.5,,3.77,5.0,26.5,,3.77,5.5,26.4,
3.78,5.3,25.5,,3.78,5.0,26.5,,3.78,5.6,26.4,
3.8,5.3,25.5,,3.8,5.0,26.5,,3.8,5.6,26.4,
3.82,5.3,25.5,,3.82,5.0,26.5,,3.82,5.6,26.4,
3.83,5.3,25.5,,3.83,5.0,26.5,,3.83,5.6,26.4,15.0
3.85,5.3,25.5,,3.85,5.0,26.5,11.0,3.85,5.6,26.4,
3.87,5.3,25.5,,3.87,5.0,26.5,,3.87,5.6,26.4,
3.88,5.4,25.5,15.0,3.88,5.0,26.5,,3.88,5.6,26.4,
3.9,5.4,25.5,,3.9,5.0,26.5,,3.9,5.6,26.4,
3.92,5.4,25.5,,3.92,5.1,26.5,,3.92,5.6,26.4,
3.93,5.4,25.5,,3.93,5.1,26.5,,3.93,5.6,26.4,
3.95,5.4,25.5,,3.95,5.1,26.5,,3.95,5.6,26.4,
3.97,5.4,25.5,,3.97,5.1,26.5,11.5,3.97,5.6,26.4,15.5
3.98,5.4,25.5,,3.98,5.1,26.5,,3.98,5.6,26.4,
4.0,5.4,25.5,15.5,4.0,5.1,26.5,,4.0,5.7,26.4,
4.02,5.4,25.5,,4.02,5.1,26.5,,4.02,5.7,26.4,
4.03,5.4,25.5,,4.03,5.1,26.5,,4.03,5.7,26.4,
4.05,5.4,25.5,,4.05,5.1,26.5,,4.05,5.7,26.4,
4.07,5.4,25.5,,4.07,5.1,26.5,,4.07,5.7,26.4,
4.08,5.4,25.5,,4.08,5.1,26.5,,4.08,5.7,26.4,16.0
4.1,5.4,25.5,,4.1,5.1,26.5,12.0,4.1,5.7,26.4,
4.12,5.4,25.5,,4.12,5.1,26.5,,4.12,5.7,26.4,
4.13,5.4,25.5,16.0,4.13,5.1,26.5,,4.13,5.8,26.4,
4.15,5.4,25.5,,4.15,5.1,26.5,,4.15,5.8,26.4,
4.17,5.4,25.5,,4.17,5.1,26.5,,4.17,5.8,26.4,
4.18,5.5,25.5,,4.18,5.1,26.5,,4.18,5.8,26.4,
4.2,5.5,25.5,,4.2,5.2,26.5,,4.2,5.8,26.4,16.5
4.22,5.5,25.5,,4.22,5.2,26.5,12.5,4.22,5.8,26.4,
4.23,5.5,25.5,,4.23,5.2,26.5,,4.23,5.8,26.4,
4.25,5.5,25.5,,4.25,5.2,26.5,,4.25,5.8,26.4,
4.27,5.5,25.5,16.5,4.27,5.2,26.5,,4.27,5.8,26.4,
4.28,5.5,25.5,,4.28,5.2,26.5,,4.28,5.8,26.4,
4.3,5.5,25.5,,4.3,5.2,26.5,,4.3,5.8,26.4,
4.32,5.5,25.5,,4.32,5.2,26.5,,4.32,5.8,26.4,
4.33,5.5,25.5,,4.33,5.2,26.5,,4.33,5.8,26.4,17.0
4.35,5.5,25.5,,4.35,5.2,26.5,13.0,4.35,5.9,26.4,
4.37,5.5,25.5,,4.37,5.2,26.5,,4.37,5.9,26.4,
4.38,5.5,25.5,,4.38,5.2,26.5,,4.38,5.9,26.4,
4.4,5.5,25.5,,4.4,5.2,26.5,,4.4,5.9,26.4,
4.42,5.5,25.5,17.0,4.42,5.2,26.5,,4.42,5.9,26.4,
4.43,5.5,25.5,,4.43,5.2,26.5,,4.43,5.9,26.4,
4.45,5.5,25.5,,4.45,5.2,26.5,,4.45,5.9,26.4,
4.47,5.5,25.5,,4.47,5.2,26.5,,4.47,5.9,26.4,
4.48,5.5,25.5,,4.48,5.2,26.5,13.5,4.48,5.9,26.4,17.5
4.5,5.6,25.5,,4.5,5.2,26.5,,4.5,5.9,26.4,
4.52,5.6,25.5,,4.52,5.2,26.5,,4.52,5.9,26.4,
