Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.52,4.0,25.7,,1.52,25.7,4.4,,1.52,25.7,4.4,
1.53,4.0,25.7,,1.53,25.7,4.4,,1.53,25.7,4.4,
1.55,4.0,25.7,,1.55,25.7,4.4,,1.55,25.7,4.4,
1.57,4.4,25.7,4.0,1.57,25.7,4.4,,1.57,25.7,4.4,
1.58,4.4,25.7,,1.58,25.7,4.4,,1.58,25.7,4.4,
1.6,4.4,25.7,,1.6,25.7,4.4,,1.6,25.7,4.4,
1.62,4.4,25.7,,1.62,25.7,4.4,,1.62,25.7,4.4,
1.63,4.4,25.7,,1.63,25.7,4.4,,1.63,25.7,4.5,
1.65,4.4,25.7,,1.65,25.7,4.5,4.5,1.65,25.7,4.5,4.5
1.67,4.4,25.7,,1.67,25.7,4.5,,1.67,25.7,4.5,
1.68,4.4,25.7,,1.68,25.7,4.5,,1.68,25.7,4.5,
1.7,4.4,25.7,4.5,1.7,25.7,4.5,,1.7,25.7,4.5,
1.72,4.5,25.7,,1.72,25.7,4.5,,1.72,25.7,4.5,
1.73,4.5,25.7,,1.73,25.7,4.5,,1.73,25.7,4.5,
1.75,4.5,25.7,,1.75,25.7,4.5,,1.75,25.7,4.5,
1.77,4.5,25.7,,1.77,25.7,4.5,,1.77,25.7,4.5,
1.78,4.5,25.7,,1.78,25.7,4.5,,1.78,25.7,4.5,
1.8,4.5,25.7,,1.8,25.7,4.5,,1.8,25.7,4.5,
1.82,4.5,25.7,,1.82,25.7,4.5,,1.82,25.7,4.5,
1.83,4.5,25.7,5.0,1.83,25.7,4.5,5.0,1.83,25.7,4.5,5.0
1.85,4.5,25.7,,1.85,25.7,4.5,,1.85,25.7,4.5,
1.87,4.5,25.7,,1.87,25.7,4.5,,1.87,25.7,4.5,
1.88,4.5,25.7,,1.88,25.7,4.5,,1.88,25.7,4.5,
1.9,4.5,25.7,,1.9,25.7,4.5,,1.9,25.7,4.5,
1.92,4.5,25.7,,1.92,25.7,4.6,,1.92,25.7,4.6,
1.93,4.5,25.7,,1.93,25.7,4.6,,1.93,25.7,4.6,
1.95,4.5,25.7,,1.95,25.7,4.6,,1.95,25.7,4.6,
1.97,4.6,25.7,,1.97,25.7,4.6,,1.97,25.7,4.6,
1.98,4.6,25.7,,1.98,25.7,4.6,,1.98,25.7,4.6,
2.0,4.6,25.7,5.5,2.0,25.7,4.6,,2.0,25.7,4.6,
2.02,4.6,25.7,,2.02,25.7,4.6,,2.02,25.7,4.6,
2.03,4.6,25.7,,2.03,25.7,4.6,,2.03,25.7,4.6,
2.05,4.6,25.7,,2.05,25.7,4.6,5.5,2.05,25.7,4.6,5.5
2.07,4.6,25.7,,2.07,25.7,4.6,,2.07,25.7,4.6,
2.08,4.6,25.7,,2.08,25.7,4.6,,2.08,25.7,4.6,
2.1,4.6,25.7,,2.1,25.7,4.6,,2.1,25.7,4.6,
2.12,4.6,25.7,,2.12,25.7,4.6,,2.12,25.7,4.6,
2.13,4.6,25.7,6.0,2.13,25.7,4.6,,2.13,25.7,4.6,
2.15,4.6,25.7,,2.15,25.7,4.6,,2.15,25.7,4.6,
2.17,4.6,25.7,,2.17,25.7,4.6,,2.17,25.7,4.6,
2.18,4.6,25.7,,2.18,25.7,4.6,,2.18,25.7,4.6,
2.2,4.6,25.7,,2.2,25.7,4.6,,2.2,25.7,4.7,
2.22,4.7,25.7,,2.22,25.7,4.6,6.0,2.22,25.7,4.7,6.0
2.23,4.7,25.7,,2.23,25.7,4.6,,2.23,25.7,4.7,
2.25,4.7,25.7,6.5,2.25,25.7,4.7,,2.25,25.7,4.7,
2.27,4.7,25.7,,2.27,25.7,4.7,,2.27,25.7,4.7,
2.28,4.7,25.7,,2.28,25.7,4.7,,2.28,25.7,4.7,
2.3,4.7,25.7,,2.3,25.7,4.7,,2.3,25.7,4.7,
