Run 1: Time (min),Run 1: pH,Run 1: Temperature (°C),Run 1: Volume of NaOH Added (cm^3)
2.15,4.70253106536,25.309036347,
2.16666666667,4.70907608718,25.309036347,
2.18333333333,4.71294360008,25.3119349559,
2.2,4.71829861793,25.3075870411,5.5
2.21666666667,4.72543864174,25.3075870411,
2.23333333333,4.72722364769,25.3075870411,
2.25,4.73287616654,25.3075870411,
2.26666666667,4.73674367944,25.3061377343,
2.28333333333,4.74537120821,25.3046884265,
2.3,4.7492387211,25.3046884265,
2.31666666667,4.75132122805,25.3046884265,
2.33333333333,4.75935375483,25.3032391177,
2.35,4.76322126773,25.3046884265,
2.36666666667,4.77333630146,25.3046884265,6.0
2.38333333333,4.78255883221,25.3046884265,
2.4,4.78404633717,25.3046884265,
2.41666666667,4.78850885205,25.3032391177,
2.43333333333,4.79386386991,25.3046884265,
2.45,4.79713638082,25.3061377343,
